ID,center,HWHM
MSI2,492.4,66
MSI3,559.8,36
MSI4,664.6,31
MSI5,704.1,15
MSI6,740.5,15
MSI7,782.8,20
MSI8,832.8,106
MSI8a,864.7,21
MSI11,1613.7,91
MSI12,2202.4,175
