Name,WL,Resp
B8,2410,0.012
B8,2420,0.008
B8,2430,0.004
B8,2440,0.0012
B8,2488,0.0001
B8,2500,0
B9,2248,0
B9,2296,0.0001
B9,2320,0.008
B9,2330,0.012
B9,2340,0.02
B9,2342.5,0.029
B9,2345,0.045
B9,2347.5,0.065
B9,2350,0.078
B9,2352.5,0.11
B9,2355,0.155
B9,2357.5,0.229
B9,2360,0.327
B9,2362.5,0.424
B9,2365,0.539
B9,2367.5,0.727
B9,2370,0.784
B9,2372.5,0.906
B9,2375,0.927
B9,2377.5,0.898
B9,2380,0.9
B9,2382.5,0.901
B9,2385,0.903
B9,2387.5,0.904
B9,2390,0.906
B9,2392.5,0.931
B9,2395,0.927
B9,2397.5,0.922
B9,2400,0.961
B9,2402.5,1
B9,2405,0.98
B9,2407.5,0.959
B9,2410,0.927
B9,2412.5,0.894
B9,2415,0.869
B9,2417.5,0.833
B9,2420,0.816
B9,2422.5,0.767
B9,2425,0.702
B9,2427.5,0.661
B9,2430,0.563
B9,2432.5,0.424
B9,2435,0.343
B9,2437.5,0.261
B9,2440,0.192
B9,2450,0.049
B9,2460,0.016
B9,2470,0.008
B9,2480,0.004
B9,2488,0.0088
B9,2536,0.0001
B9,2584,0
